date,value
2022-07-15,1004.94
2022-07-18,1014.34
2022-07-19,1038.38
2022-07-20,1035.84
2022-07-21,1038.86
2022-07-22,1043.04
2022-07-25,1040.05
2022-07-26,1035.32
2022-07-27,1043.37
2022-07-28,1051.12
2022-07-29,1070.67
2022-08-02,1065.75
2022-08-03,1081.87
2022-08-04,1085.35
2022-08-05,1079.65
2022-08-08,1088.13
2022-08-09,1074.78
2022-08-10,1083.98
2022-08-11,1084.1
2022-08-12,1094.81
2022-08-15,1096.59
2022-08-16,1100.79
2022-08-17,1087.12
2022-08-18,1090.5
2022-08-19,1074.59
2022-08-22,1051.98
2022-08-23,1048.99
2022-08-24,1050.54
2022-08-25,1058.35
2022-08-26,1033.18
2022-08-29,1024.79
2022-08-30,1021.66
2022-08-31,1010.7
2022-09-01,986.78
2022-09-02,1011.15
2022-09-05,994.49
2022-09-06,996.3
2022-09-07,996.59
2022-09-08,997.4
2022-09-09,1009.77
2022-09-12,1026.67
2022-09-15,1000.74
2022-09-16,988.93
2022-09-19,992.67
2022-09-20,976.8
2022-09-21,984.62
2022-09-22,968.13
2022-09-23,943.5
2022-09-26,946.92
2022-09-27,946.46
2022-09-28,928.95
2022-09-29,922.17
2022-09-30,933.1
2022-10-03,938.07
2022-10-04,948.47
2022-10-05,935.11
2022-10-06,913.56
2022-10-07,906.36
2022-10-10,908.8
2022-10-11,900.64
2022-10-12,902.51
2022-10-13,900.61
2022-10-14,914.19
2022-10-17,928.24
2022-10-18,938.55
2022-10-19,943.36
2022-10-20,951.71
2022-10-21,941.21
2022-10-24,955.8
2022-10-25,971.33
2022-10-26,978.07
2022-10-27,980.7
2022-10-28,978.84
2022-10-31,984.72
2022-11-01,995.65
2022-11-02,991.67
2022-11-03,979.68
2022-11-04,1005.96
2022-11-07,1015.05
2022-11-08,1024.29
2022-11-09,1023.39
2022-11-10,1054.78
2022-11-11,1066.28
2022-11-14,1070.48
2022-11-15,1080.4
2022-11-16,1069.34
2022-11-17,1068.15
2022-11-18,1081.6
2022-11-21,1080.77
2022-11-22,1088.11
2022-11-23,1092.15
2022-11-24,1095.72
2022-11-25,1093.38
2022-11-28,1088.37
2022-11-29,1085.66
2022-11-30,1091.56
2022-12-01,1094.99
2022-12-02,1091.83
2022-12-05,1090.79
2022-12-06,1082.65
2022-12-07,1085.0
2022-12-08,1078.25
2022-12-09,1082.35
2022-12-12,1077.26
2022-12-13,1097.15
2022-12-14,1094.06
2022-12-15,1050.75
2022-12-16,1046.75
2022-12-19,1043.59
2022-12-20,1042.15
2022-12-21,1063.45
2022-12-22,1045.19
2022-12-23,1044.45
2022-12-27,1049.7
2022-12-28,1040.56
2022-12-29,1052.61
2022-12-30,1036.25
2023-01-03,1065.3
2023-01-04,1089.01
2023-01-05,1085.65
2023-01-06,1100.57
2023-01-09,1120.99
2023-01-10,1117.89
2023-01-11,1128.62
2023-01-12,1140.82
2023-01-13,1147.08
2023-01-16,1154.42
2023-01-17,1157.03
2023-01-18,1159.57
2023-01-19,1141.35
2023-01-20,1145.81
2023-01-23,1159.92
2023-01-24,1161.02
2023-01-25,1158.81
2023-01-26,1172.11
2023-01-27,1171.9
2023-01-30,1173.61
2023-01-31,1174.69
2023-02-01,1173.17
2023-02-02,1199.93
2023-02-03,1205.34
2023-02-06,1191.96
2023-02-07,1193.74
2023-02-08,1196.24
2023-02-09,1209.49
2023-02-10,1192.6
2023-02-13,1207.87
2023-02-14,1211.59
2023-02-15,1219.87
2023-02-16,1225.06
2023-02-17,1217.66
2023-02-20,1214.85
2023-02-21,1210.13
2023-02-22,1203.62
2023-02-23,1209.16
2023-02-24,1187.0
2023-02-27,1205.7
2023-02-28,1207.25
2023-03-01,1194.34
2023-03-02,1203.61
2023-03-03,1221.03
2023-03-06,1227.28
2023-03-07,1214.45
2023-03-08,1220.14
2023-03-09,1212.04
2023-03-10,1190.07
2023-03-13,1154.19
2023-03-14,1145.12
2023-03-15,983.74
2023-03-16,968.19
2023-03-17,977.78
2023-03-20,1084.17
2023-03-21,1114.6
2023-03-22,1167.1
2023-03-23,1183.33
2023-03-24,1149.11
2023-03-27,1150.64
2023-03-28,1162.61
2023-03-29,1184.29
2023-03-30,1209.01
2023-03-31,1221.78
2023-04-03,1217.64
2023-04-04,1230.33
2023-04-05,1214.73
2023-04-06,1218.89
2023-04-11,1228.39
2023-04-12,1226.89
2023-04-13,1239.89
2023-04-14,1249.88
2023-04-17,1246.53
2023-04-18,1257.83
2023-04-19,1266.86
2023-04-20,1264.14
2023-04-21,1268.35
2023-04-24,1270.89
2023-04-25,1266.19
2023-04-26,1252.18
