date,value
2018-11-12,3194.08
2018-11-13,3224.82
2018-11-14,3205.36
2018-11-15,3190.31
2018-11-16,3180.74
2018-11-19,3160.33
2018-11-20,3116.07
2018-11-21,3153.91
2018-11-22,3126.67
2018-11-23,3137.21
2018-11-26,3172.71
2018-11-27,3166.42
2018-11-28,3168.29
2018-11-29,3174.16
2018-11-30,3173.13
2018-12-03,3214.99
2018-12-04,3189.25
2018-12-05,3150.27
2018-12-06,3045.94
2018-12-07,3058.53
2018-12-10,3016.99
2018-12-11,3055.32
2018-12-12,3107.97
2018-12-13,3112.17
2018-12-14,3092.6
2018-12-17,3063.65
2018-12-18,3040.13
2018-12-19,3051.38
2018-12-20,3000.06
2018-12-21,3000.61
2018-12-24,2973.78
2018-12-27,2937.36
2018-12-28,2986.53
2018-12-31,3001.42
2019-01-02,2993.18
2019-01-03,2954.66
2019-01-04,3041.85
2019-01-07,3033.64
2019-01-08,3054.94
2019-01-09,3070.24
2019-01-10,3075.73
2019-01-11,3070.04
2019-01-14,3055.18
2019-01-15,3068.05
2019-01-16,3077.22
2019-01-17,3069.35
2019-01-18,3134.92
2019-01-21,3125.07
2019-01-22,3112.8
2019-01-23,3112.13
2019-01-24,3126.31
2019-01-25,3163.24
2019-01-28,3137.27
2019-01-29,3153.42
2019-01-30,3161.74
2019-01-31,3159.43
2019-02-01,3171.12
2019-02-04,3165.2
2019-02-05,3215.04
2019-02-06,3212.75
2019-02-07,3150.76
2019-02-08,3135.62
2019-02-11,3165.61
2019-02-12,3190.75
2019-02-13,3202.37
2019-02-14,3182.66
2019-02-15,3241.25
2019-02-18,3244.79
2019-02-19,3239.41
2019-02-20,3259.49
2019-02-21,3263.7
2019-02-22,3270.55
2019-02-25,3280.01
2019-02-26,3289.32
2019-02-27,3282.77
2019-02-28,3298.26
2019-03-01,3312.1
2019-03-04,3317.12
2019-03-05,3327.19
2019-03-06,3324.67
2019-03-07,3308.85
2019-03-08,3283.6
2019-03-11,3304.44
2019-03-12,3303.95
2019-03-13,3323.45
2019-03-14,3342.03
2019-03-15,3386.08
2019-03-18,3387.94
