date,value
2022-07-15T00:00:00.000Z,1004.94
2022-07-18T00:00:00.000Z,1014.34
2022-07-19T00:00:00.000Z,1038.38
2022-07-20T00:00:00.000Z,1035.84
2022-07-21T00:00:00.000Z,1038.86
2022-07-22T00:00:00.000Z,1043.04
2022-07-25T00:00:00.000Z,1040.05
2022-07-26T00:00:00.000Z,1035.32
2022-07-27T00:00:00.000Z,1043.37
2022-07-28T00:00:00.000Z,1051.12
2022-07-29T00:00:00.000Z,1070.67
2022-08-02T00:00:00.000Z,1065.75
2022-08-03T00:00:00.000Z,1081.87
2022-08-04T00:00:00.000Z,1085.35
2022-08-05T00:00:00.000Z,1079.65
2022-08-08T00:00:00.000Z,1088.13
2022-08-09T00:00:00.000Z,1074.78
2022-08-10T00:00:00.000Z,1083.98
2022-08-11T00:00:00.000Z,1084.1
2022-08-12T00:00:00.000Z,1094.81
2022-08-15T00:00:00.000Z,1096.59
2022-08-16T00:00:00.000Z,1100.79
2022-08-17T00:00:00.000Z,1087.12
2022-08-18T00:00:00.000Z,1090.5
2022-08-19T00:00:00.000Z,1074.59
2022-08-22T00:00:00.000Z,1051.98
2022-08-23T00:00:00.000Z,1048.99
2022-08-24T00:00:00.000Z,1050.54
2022-08-25T00:00:00.000Z,1058.35
2022-08-26T00:00:00.000Z,1033.18
2022-08-29T00:00:00.000Z,1024.79
2022-08-30T00:00:00.000Z,1021.66
2022-08-31T00:00:00.000Z,1010.7
2022-09-01T00:00:00.000Z,986.78
2022-09-02T00:00:00.000Z,1011.15
2022-09-05T00:00:00.000Z,994.49
2022-09-06T00:00:00.000Z,996.3
2022-09-07T00:00:00.000Z,996.59
2022-09-08T00:00:00.000Z,997.4
2022-09-09T00:00:00.000Z,1009.77
2022-09-12T00:00:00.000Z,1026.67
2022-09-15T00:00:00.000Z,1000.74
2022-09-16T00:00:00.000Z,988.93
2022-09-19T00:00:00.000Z,992.67
2022-09-20T00:00:00.000Z,976.8
2022-09-21T00:00:00.000Z,984.62
2022-09-22T00:00:00.000Z,968.13
2022-09-23T00:00:00.000Z,943.5
2022-09-26T00:00:00.000Z,946.92
2022-09-27T00:00:00.000Z,946.46
2022-09-28T00:00:00.000Z,928.95
2022-09-29T00:00:00.000Z,922.17
2022-09-30T00:00:00.000Z,933.1
2022-10-03T00:00:00.000Z,938.07
2022-10-04T00:00:00.000Z,948.47
2022-10-05T00:00:00.000Z,935.11
2022-10-06T00:00:00.000Z,913.56
2022-10-07T00:00:00.000Z,906.36
2022-10-10T00:00:00.000Z,908.8
2022-10-11T00:00:00.000Z,900.64
2022-10-12T00:00:00.000Z,902.51
2022-10-13T00:00:00.000Z,900.61
2022-10-14T00:00:00.000Z,914.19
2022-10-17T00:00:00.000Z,928.24
2022-10-18T00:00:00.000Z,938.55
2022-10-19T00:00:00.000Z,943.36
2022-10-20T00:00:00.000Z,951.71
2022-10-21T00:00:00.000Z,941.21
2022-10-24T00:00:00.000Z,955.8
2022-10-25T00:00:00.000Z,971.33
2022-10-26T00:00:00.000Z,978.07
2022-10-27T00:00:00.000Z,980.7
2022-10-28T00:00:00.000Z,978.84
2022-10-31T00:00:00.000Z,984.72
2022-11-01T00:00:00.000Z,995.65
2022-11-02T00:00:00.000Z,991.67
2022-11-03T00:00:00.000Z,979.68
2022-11-04T00:00:00.000Z,1005.96
2022-11-07T00:00:00.000Z,1015.05
2022-11-08T00:00:00.000Z,1024.29
2022-11-09T00:00:00.000Z,1023.39
2022-11-10T00:00:00.000Z,1054.78
2022-11-11T00:00:00.000Z,1066.28
2022-11-14T00:00:00.000Z,1070.48
2022-11-15T00:00:00.000Z,1080.4
2022-11-16T00:00:00.000Z,1069.34
2022-11-17T00:00:00.000Z,1068.15
2022-11-18T00:00:00.000Z,1081.6
2022-11-21T00:00:00.000Z,1080.77
2022-11-22T00:00:00.000Z,1088.11
2022-11-23T00:00:00.000Z,1092.15
2022-11-24T00:00:00.000Z,1095.72
2022-11-25T00:00:00.000Z,1093.38
2022-11-28T00:00:00.000Z,1088.37
2022-11-29T00:00:00.000Z,1085.66
2022-11-30T00:00:00.000Z,1091.56
2022-12-01T00:00:00.000Z,1094.99
2022-12-02T00:00:00.000Z,1091.83
2022-12-05T00:00:00.000Z,1090.79
2022-12-06T00:00:00.000Z,1082.65
2022-12-07T00:00:00.000Z,1085.0
2022-12-08T00:00:00.000Z,1078.25
2022-12-09T00:00:00.000Z,1082.35
2022-12-12T00:00:00.000Z,1077.26
2022-12-13T00:00:00.000Z,1097.15
2022-12-14T00:00:00.000Z,1094.06
2022-12-15T00:00:00.000Z,1050.75
2022-12-16T00:00:00.000Z,1046.75
2022-12-19T00:00:00.000Z,1043.59
2022-12-20T00:00:00.000Z,1042.15
